year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,1,1,1,1/1/2024,AA,1931,ELP,"El Paso, TX",Texas,PHX,"Phoenix, AZ",Arizona,600,558,-2,29,627,727,3,727,730,3,0,,0,87,92,60,347,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1932,CLT,"Charlotte, NC",North Carolina,LAS,"Las Vegas, NV",Nevada,1829,1823,-6,15,1838,1953,6,2028,1959,-29,0,,0,299,276,255,1916,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1934,PHX,"Phoenix, AZ",Arizona,TUS,"Tucson, AZ",Arizona,1125,1122,-3,16,1138,1203,4,1224,1207,-17,0,,0,59,45,25,110,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1934,TUS,"Tucson, AZ",Arizona,PHX,"Phoenix, AZ",Arizona,1312,1303,-9,9,1312,1340,7,1405,1347,-18,0,,0,53,44,28,110,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1935,CLT,"Charlotte, NC",North Carolina,RSW,"Fort Myers, FL",Florida,938,928,-10,13,941,1114,4,1141,1118,-23,0,,0,123,110,93,600,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1935,RSW,"Fort Myers, FL",Florida,CLT,"Charlotte, NC",North Carolina,1231,1228,-3,20,1248,1414,5,1429,1419,-10,0,,0,118,111,86,600,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1936,LAS,"Las Vegas, NV",Nevada,MIA,"Miami, FL",Florida,1226,1223,-3,16,1239,1935,18,2002,1953,-9,0,,0,276,270,236,2174,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1936,MIA,"Miami, FL",Florida,LAS,"Las Vegas, NV",Nevada,849,844,-5,27,911,1105,10,1125,1115,-10,0,,0,336,331,294,2174,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1937,CLT,"Charlotte, NC",North Carolina,BOS,"Boston, MA",Massachusetts,2228,2227,-1,23,2250,32,6,34,38,4,0,,0,126,131,102,728,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1938,DFW,"Dallas/Fort Worth, TX",Texas,LAS,"Las Vegas, NV",Nevada,1112,1106,-6,17,1123,1155,11,1211,1206,-5,0,,0,179,180,152,1055,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1938,LAS,"Las Vegas, NV",Nevada,DFW,"Dallas/Fort Worth, TX",Texas,1304,1257,-7,20,1317,1724,9,1746,1733,-13,0,,0,162,156,127,1055,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1939,DFW,"Dallas/Fort Worth, TX",Texas,SAN,"San Diego, CA",California,1235,1228,-7,24,1252,1340,5,1359,1345,-14,0,,0,204,197,168,1171,0,0,0,0,0
2024,1,1,1,1/1/2024,AA,1939,SAN,"San Diego, CA",California,DFW,"Dallas/Fort Worth, TX",Texas,1458,1517,19,14,1531,1951,11,1958,2002,4,0,,0,180,165,140,1171,0,0,0,0,0
